atomic,benchmark,diff_ann_vol_pp,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
AIQ,EW,-8.283564953179567,-10.532095533670422,-6.316787751831313,True
AIQ,LS1,-1.875022095801425,-2.8621154574961434,-1.1464398938268288,True
AIQ,LS2,-1.4779785494950515,-2.28901262225798,-0.8768909680196237,True
AIQ,NLS8,-0.3697987856228524,-0.6243514787091562,-0.13566186180449666,True
AIQ,NLS6,-0.3437036258144941,-0.5842865027587216,-0.12097017393142695,True
AIQ,NLS7,-0.3213538955679063,-0.5481237793355783,-0.11013607238833255,True
AIQ,CRE,-0.22172029342626765,-0.3657585065126952,-0.09000052189939065,True
AIQ,GS_STAR,-0.2112347231970837,-0.4202082763852433,-0.007151714105792208,True
AIQ,SRE_STAR,-0.20667760599697704,-0.3403161032477934,-0.08958341046088507,True
AIQ,LS5,-0.15297201561862828,-0.27017738183895057,-0.03961415525524847,True
AIQ,LS4,-0.07865184822081961,-0.17979355926474908,0.032322939087276945,False
AIQ,HC,-0.0478464835622594,-0.1481739359061951,0.0459081126785303,False
AIQ,ID_KAPPA,-0.04591299251105596,-0.14126104217440655,0.046117730881952965,False
AIQ,LS3,-0.03691689432790923,-0.1785381422924997,0.11016069023100948,False
