method,realised_vol_10bp_pct,sharpe_10bp,max_drawdown_10bp_pct,es95_10bp_pct,downside_deviation_10bp_pct,terminal_wealth_10bp_from_100
AIQ,4.123522556245249,0.48924676065043393,16.376260582962953,2.7906593852407156,2.6332811886122722,255.04795440687477
LS3,4.160439450573159,0.4854840720061972,18.70424221717525,2.851635010393373,2.658681894132261,255.10502199551985
ID_KAPPA,4.169435548756305,0.5090529506145792,16.60554216721588,2.8623783636133946,2.6849959144310307,261.6847970972436
HC,4.171369039807509,0.5047888250449125,16.553883186357467,2.860335037329688,2.6843062519413756,260.58642148642036
LS4,4.202174404466069,0.5005761143266797,17.816689154546562,2.9365486597572885,2.7375556532257144,260.3596669177178
LS5,4.276494571863878,0.5443400925126165,18.26909174142177,2.9364696875062855,2.6860276818191133,275.1258472789324
SRE_STAR,4.330200162242226,0.5231649405806099,18.60633873283959,2.9704348929189517,2.7385066890066456,270.71915481569175
GS_STAR,4.334757279442333,0.502838724769491,18.16217433611299,2.9862005574747554,2.8062917089731285,264.9757744410913
CRE,4.345242849671517,0.5193991999363954,18.542653881647475,2.962262892596793,2.7476377206339095,270.10402589430765
NLS7,4.444876451813156,0.4821947257349503,17.51840727136038,3.114750395946735,2.9484785895578165,262.2562716067087
NLS6,4.467226182059743,0.4862176978744058,17.493623939638482,3.120862516913668,2.9643752771108085,264.07566827852474
NLS8,4.493321341868102,0.49191596246854424,17.42929408059506,3.128442054784671,2.9809882472615854,266.52934306219515
LS2,5.601501105740301,0.5489426618028546,16.523896352551283,3.796308316409243,3.791018466642473,325.9234212325396
LS1,5.998544652046674,0.568525390109624,17.920007997945454,3.939958367882437,3.995958907687018,352.26891607040227
EW,12.407087509424816,0.42696130424767004,42.01972746603476,8.178042257106629,8.509232773991545,485.20099054508927
